GR,NPHI,RHOB,SW,VSH,PHI,LFC
,0.4117,2.256416,1.0,0.49044235518883295,0.28810692476520394,4.0
,0.4241,2.259464,1.0,0.521933969488599,0.288434872954706,4.0
,0.4307,2.26531499999997,1.0,0.520316164099469,0.284762159934547,4.0
,0.4179,2.2788950000000097,1.0,0.502234409336529,0.275222019579148,4.0
,0.4056,2.28622000000001,1.0,0.5002376789824841,0.27061447410825196,4.0
,0.4138,2.28610200000001,1.0,0.502663252560296,0.270858964558966,4.0
,0.4162,2.27636800000003,1.0,0.55040893264552,0.28014508467716,4.0
,0.4293,2.263375,1.0,0.5483656875502729,0.287887615132408,4.0
,0.4224,2.25799500000001,1.0,0.582391787992617,0.29348703574292895,4.0
,0.4463,2.255,1.0,0.545326346289769,0.29276161288233304,4.0
,0.4262,2.254104,1.0,0.518266111968924,0.29144317836491196,4.0
,0.3969,2.25785499999999,1.0,0.477772193487709,0.286345685852539,4.0
,0.3771,2.2642425,1.0,0.464754872986394,0.281527974361036,4.0
,0.391,2.26825200000002,1.0,0.4592615955010039,0.27868681479909396,4.0
,0.4082,2.28272,1.0,0.43604960513522706,0.268165747372579,4.0
,0.4057,2.289732,1.0,0.42849493046046205,0.26331691952212805,4.0
,0.4112,2.2792035,1.0,0.4368051860532921,0.270377538467523,4.0
,0.4093,2.260309,1.0,0.44929155780137303,0.282849087257902,4.0
,0.4221,2.2348800000000097,1.0,0.436357056229515,0.29754082244505,4.0
,0.4243,2.224164,1.0,0.462264632573252,0.30588118747037796,4.0
,0.4231,2.23221350000002,1.0,0.44883094841288296,0.300034051833064,4.0
,0.3995,2.25089899999998,1.0,0.46318358233846596,0.28958304807651597,4.0
,0.3855,2.2734159999999903,1.0,0.4507686844610129,0.274922289800876,4.0
,0.4017,2.27787999999996,1.0,0.45324644530944197,0.272363944182415,4.0
,0.4225,2.26117,1.0,0.49273972960186796,0.285365762165617,4.0
,0.4324,2.2471460000000096,1.0,0.490742999247822,0.29378537274773103,4.0
,0.4336,2.2500804999999904,1.0,0.54137940032288,0.295478007081106,4.0
,0.4266,2.2678320000000096,1.0,0.49655620739221296,0.28156837760873904,4.0
,0.4321,2.2789235,1.0,0.482809399608142,0.27382876150468105,4.0
,0.425,2.26814899999997,1.0,0.46459604216277706,0.27912653426471196,4.0
,0.4279,2.251497,1.0,0.472539852355405,0.28986764983583196,4.0
,0.4332,2.24174,1.0,0.491155959389227,0.29711303796712296,4.0
,0.4331,2.236072,1.0,0.500413527394346,0.301203802084969,4.0
,0.4255,2.2337485,1.0,0.510946280011935,0.303336365874466,4.0
,0.4053,2.23629999999995,1.0,0.480603920171628,0.29971142897305003,4.0
,0.4141,2.251014,1.0,0.441625701550075,0.288009811928597,4.0
,0.4151,2.258352,1.0,0.421419017268314,0.282086404305748,4.0
,0.4108,2.24345499999998,1.0,0.41858048354909705,0.29104226871559497,4.0
,0.41,2.227879,1.0,0.46850895295317607,0.30403312432928903,4.0
,0.4332,2.2282900000000003,1.0,0.49143391333055697,0.305340193550456,4.0
,0.4445,2.22948799999998,1.0,0.536318369578905,0.30764344013869,4.0
,0.4488,2.21681750000002,1.0,0.5218738406768011,0.31437929590692104,4.0
,0.4254,2.20506500000001,1.0,0.5098185811642529,0.32073299397373495,4.0
,0.4219,2.20244600000001,1.0,0.47567335760419605,0.32006555882897303,4.0
,0.4137,2.21158399999999,1.0,0.508258635575155,0.31665789984180104,4.0
,0.43,2.22269799999999,1.0,0.590944827844405,0.315404673571242,4.0
,0.4209,2.23890900000003,1.0,0.67298208274859,0.311072283057534,4.0
,0.4366,2.2557665,1.0,0.6793500642697579,0.301390730956334,4.0
,0.4308,2.25523999999998,1.0,0.6834172678602422,0.301978458924081,4.0
,0.428,2.244558,1.0,0.687846378827397,0.308670846637748,4.0
,0.4195,2.242779,1.0,0.692728157641861,0.310058766135017,4.0
,0.4103,2.2442655,1.0,0.655902096680322,0.306724269748658,4.0
,0.4388,2.25348400000002,1.0,0.5866711441832181,0.29650707673986604,4.0
,0.4349,2.26147,1.0,0.497656678098704,0.285525683579164,4.0
,0.4382,2.2604849999999996,1.0,0.47607156916912197,0.284619592135867,4.0
,0.4356,2.2482435,1.0,0.51986349625216,0.295119951921292,4.0
,0.4364,2.2362349999999998,1.0,0.6043297282518061,0.308118541902995,4.0
,0.4377,2.229,1.0,0.667455904592593,0.31665177513622494,4.0
,0.4205,2.2308,1.0,0.694438992513396,0.317340069187938,4.0
,0.4118,2.2340160000000098,1.0,0.7119795879701529,0.31656337695194,4.0
,0.4076,2.2273245,1.0,0.661488403648117,0.31726590383471803,4.0
,0.42100000000000004,2.22662400000002,1.0,0.6517169044780079,0.317045439206115,4.0
,0.4483,2.220348,1.0,0.6324223629261629,0.319554266523896,4.0
,0.4501,2.221876,1.0,0.6515160969367211,0.31988520384221597,4.0
,0.4461,2.22835249999999,1.0,0.6752193283498271,0.317548830301098,4.0
,0.4234,2.234269,1.0,0.63560351742204,0.31138510747084497,4.0
,0.4225,2.234604,1.0,0.631462570949162,0.310908751911443,4.0
,0.4188,2.2317950000000297,1.0,0.598732076225181,0.310425789610046,4.0
,0.4155,2.23161450000001,1.0,0.635250686092433,0.312959230290404,4.0
,0.4183,2.24055500000001,1.0,0.6396173992360239,0.30786972477650104,4.0
,0.4389,2.24943999999999,1.0,0.625549526287069,0.30157916150459996,4.0
,0.4318,2.256236,1.0,0.621499340284829,0.297211062658193,4.0
,0.4336,2.255195,1.0,0.6192155799423901,0.297683735683268,4.0
,0.4276,2.2515389999999997,1.0,0.618582525659687,0.299844628517521,4.0
,0.4556,2.250016,1.0,0.6287692539829661,0.301448965423555,4.0
,0.4687,2.2450639999999997,1.0,0.662427774519225,0.306679464546553,4.0
,0.457,2.251062,1.0,0.6733031479134729,0.303806346508051,4.0
,0.4588,2.2521645,1.0,0.685518372755522,0.303960966235925,4.0
,0.4447,2.250324,1.0,0.661414660765723,0.303454406889732,4.0
,0.4366,2.2579260000000096,1.0,0.657196567892803,0.29860674271111,4.0
,0.4191,2.26903199999996,1.0,0.6336476292797819,0.290331272488404,4.0
,0.4138,2.2820235,1.0,0.610724937914166,0.280924170881436,4.0
,0.4184,2.2814159999999903,1.0,0.575416845824054,0.278832989390496,4.0
,0.4183,2.2873,1.0,0.573391752822934,0.275129223110832,4.0
,0.4083,2.2866720000000003,1.0,0.5940374908814089,0.276955443501329,4.0
,0.4175,2.2848914999999903,1.0,0.637182749611148,0.281030087269861,4.0
,0.4075,2.278819,1.0,0.622080207296915,0.283642374383798,4.0
,0.4138,2.281398,1.0,0.5773976930957371,0.27898220623593295,4.0
,0.4103,2.2826400000000002,1.0,0.5404967547459221,0.27564235452848496,4.0
,0.4194,2.283157,1.0,0.515905205226442,0.273592430387582,4.0
,0.4151,2.2812620000000097,1.0,0.528717180162938,0.27565012544862894,4.0
,0.4105,2.281786,1.0,0.579945793308911,0.278925306188461,4.0
